bot_id,bot_name,bot_commit,status,matches_planned,matches_completed,matches_reported,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,timeouts,bot_exceptions,close_threshold_us,limit_us
casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,exceeded,21,21,21,3031,10,33,2683,6584,>12000,112,0,9000,10000
jonbot@90fc9f3,jonbot,90fc9f3,exceeded,21,21,20,2702,7,120,325,524,>12000,76,1,9000,10000
jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,exceeded,21,21,21,3355,7,32,471,801,>12000,43,0,9000,10000
lockin@90fc9f3,lockin,90fc9f3,exceeded,21,21,21,2428,322,912,1076,5747,>12000,371,0,9000,10000
mistral@90fc9f3,mistral,90fc9f3,exceeded,21,21,20,2190,5,28,989,>12000,>12000,760,4,9000,10000
mjolnir@2e6c876,mjolnir,2e6c876,close,21,21,21,3054,14,42,371,914,9266,0,0,9000,10000
strategist@2e6eca5,strategist,2e6eca5,pass,21,21,21,2871,6,90,222,296,1346,0,0,9000,10000
tempest@90fc9f3,tempest,90fc9f3,exceeded,21,21,20,2436,11,42,691,3732,>12000,536,3,9000,10000
tempest_oracle_guarded@90fc9f3,tempest_oracle_guarded,90fc9f3,pass,21,21,21,3603,10,35,575,1989,6036,0,0,9000,10000
tyr@2e6c876,tyr,2e6c876,pass,21,21,21,3054,24,67,659,1325,8169,0,0,9000,10000
tyr_belt@2e6c876,tyr_belt,2e6c876,close,21,21,21,3054,17,52,450,1152,9591,0,0,9000,10000
tyr_hint@2e6c876,tyr_hint,2e6c876,pass,21,21,21,3054,13,43,381,900,7046,0,0,9000,10000
tyr_pad@2e6c876,tyr_pad,2e6c876,pass,21,21,21,3054,14,53,433,1193,8548,0,0,9000,10000
tyr_retgt@2e6c876,tyr_retgt,2e6c876,pass,21,21,21,3054,13,41,376,1058,6614,0,0,9000,10000
undertow_adjacent@90fc9f3,undertow_adjacent,90fc9f3,pass,21,21,21,3305,6,208,1007,1794,5712,0,0,9000,10000
v233_h@90fc9f3,v233_h,90fc9f3,pass,21,21,21,3661,10,30,549,1222,5217,0,0,9000,10000
vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,pass,21,21,21,3661,7,25,369,1109,4913,0,0,9000,10000
vigil@2e6c876,vigil,2e6c876,pass,21,21,21,4334,13,38,49,758,5083,0,0,9000,10000
vigil_reinforcements@2e6c876,vigil_reinforcements,2e6c876,exceeded,21,21,21,3991,28,46,58,1010,>12000,28,0,9000,10000
