match_id,tournament_id,bot_a,bot_a_name,bot_a_commit,bot_b,bot_b_name,bot_b_commit,map,map_set,seed,tle,kind,winner,score_a,win_condition,turns,resign_message,a_titanium,a_titanium_collected,a_units,a_buildings,b_titanium,b_titanium_collected,b_units,b_buildings,status,error,duration_s,host,lsf_job,finished_at
ce17b2bea29a0bf0,jon-latest-plus-luc-dedup,v233_b@9713344,v233_b,9713344,mistral@ba943b9,mistral,ba943b9,vault,official,1,0,,b,0.0,core_destroyed,41,,117,0,3,1,27,0,14,1,ok,,4.851,n-62-11-53,28999261,2026-08-01T16:36:36+0200
ce305fa8a23dcbba,jon-latest-plus-luc-dedup,turtle@9713344,turtle,9713344,mistral@ba943b9,mistral,ba943b9,aurora,official,1,0,,b,0.0,core_destroyed,57,,87,120,2,8,44,0,13,1,ok,,7.778,n-62-29-26,28999261,2026-08-01T16:36:55+0200
ce4ad5df7f6cd175,jon-latest-plus-luc-dedup,luc_1@604349b,luc_1,604349b,vg_v4@9713344,vg_v4,9713344,sweden,official,1,0,,b,0.0,titanium_collected,1000,,3000,0,0,1,4273,2440,8,16,ok,,8.366,n-62-31-9,28999261,2026-08-01T16:39:31+0200
ce4d3f7910309391,jon-latest-plus-luc-dedup,vg_v7@9713344,vg_v7,9713344,vanguard@ba943b9,vanguard,ba943b9,longship,official,1,0,,b,0.0,core_destroyed,65,,47,30,9,6,80,450,15,26,ok,,5.489,n-62-29-24,28999261,2026-08-01T16:38:16+0200
ce4d7f98b9201757,jon-latest-plus-luc-dedup,uw_v2@9713344,uw_v2,9713344,mistral@ba943b9,mistral,ba943b9,aurora,official,1,0,,b,0.0,core_destroyed,56,,84,240,6,21,113,0,10,1,ok,,8.482,n-62-31-17,28999261,2026-08-01T16:37:16+0200
ce4f17161d0f3165,jon-latest-plus-luc-dedup,titanium_v1@9713344,titanium_v1,9713344,mistral@ba943b9,mistral,ba943b9,fjord,official,1,0,,b,0.0,core_destroyed,39,,369,0,3,2,46,0,12,1,ok,,5.425,n-62-31-11,28999261,2026-08-01T16:36:07+0200
ce5447ee97c4b790,jon-latest-plus-luc-dedup,vanguard@da3fd8a,vanguard,da3fd8a,mistral@ba943b9,mistral,ba943b9,jackpot,official,1,0,,a,1.0,core_destroyed,50,,122,210,12,8,286,0,5,0,ok,,4.447,n-62-21-14,28999261,2026-08-01T16:36:42+0200
ce87bf7a215c7959,jon-latest-plus-luc-dedup,baiter@9713344,baiter,9713344,mistral@ba943b9,mistral,ba943b9,duel,official,1,0,,b,0.0,core_destroyed,23,,93,20,4,1,56,0,12,1,ok,,4.07,n-62-29-11,28999261,2026-08-01T16:37:15+0200
ce88e0881b5c3690,jon-latest-plus-luc-dedup,uw_v1@9713344,uw_v1,9713344,mistral@ba943b9,mistral,ba943b9,string,official,1,0,,b,0.0,core_destroyed,134,,97,20,5,4,306,0,5,1,ok,,4.239,n-62-31-14,28999261,2026-08-01T16:38:13+0200
ceae4948c5a2a1a4,jon-latest-plus-luc-dedup,tempest@da3fd8a,tempest,da3fd8a,luc_1@604349b,luc_1,604349b,aurora,official,1,0,,a,1.0,core_destroyed,53,,62,0,12,4,44,0,10,2,ok,,10.025,n-62-29-11,28999261,2026-08-01T16:40:05+0200
