bot_id,bot_name,bot_commit,status,matches_planned,matches_completed,matches_reported,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,timeouts,bot_exceptions,close_threshold_us,limit_us
vanguard@9932bec,vanguard,9932bec,pass,3,3,3,510,14,47,839,1783,6927,0,0,9000,10000
vanguard_oracle@75591b7,vanguard_oracle,75591b7,pass,3,3,3,661,16,33,63,1499,6936,0,0,9000,10000
vanguard@818f3b4,vanguard,818f3b4,pass,3,3,3,511,15,46,877,1755,4728,0,0,9000,10000
vanguard@26e6792,vanguard,26e6792,pass,3,3,3,517,18,43,791,1798,6601,0,0,9000,10000
vanguard@259c188,vanguard,259c188,pass,3,3,3,567,19,44,657,1644,4837,0,0,9000,10000
undertow_oracle@75591b7,undertow_oracle,75591b7,pass,3,3,3,503,13,41,939,1956,5273,0,0,9000,10000
undertow@da3fd8a,undertow,da3fd8a,pass,3,3,3,499,18,49,1091,1888,3806,0,0,9000,10000
undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,pass,3,3,3,499,12,37,1078,1767,3572,0,0,9000,10000
vanguard@da3fd8a,vanguard,da3fd8a,pass,3,3,3,505,21,46,863,1453,3416,0,0,9000,10000
v233_g@9713344,v233_g,9713344,pass,3,3,3,488,15,39,865,1460,3451,0,0,9000,10000
tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,pass,3,3,3,472,18,44,353,2183,3946,0,0,9000,10000
v233_f@9713344,v233_f,9713344,pass,3,3,3,449,15,38,962,1538,3553,0,0,9000,10000
tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,pass,3,3,3,462,19,41,395,1835,3393,0,0,9000,10000
undertow@9713344,undertow,9713344,pass,3,3,3,477,11,45,918,1573,3581,0,0,9000,10000
tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,pass,3,3,3,425,14,33,620,1521,2520,0,0,9000,10000
tempest@da3fd8a,tempest,da3fd8a,exceeded,3,3,3,340,15,41,649,3839,>12000,67,0,9000,10000
mistral_fast@26b5aa1,mistral_fast,26b5aa1,pass,3,3,3,437,12,31,1060,1799,2611,0,0,9000,10000
mistral@ba943b9,mistral,ba943b9,exceeded,3,3,3,256,13,38,1181,>12000,>12000,124,0,9000,10000
v233_e@9713344,v233_e,9713344,pass,3,3,3,460,11,28,720,1190,2573,0,0,9000,10000
uw_v2@9713344,uw_v2,9713344,pass,3,3,3,446,13,356,898,1176,2778,0,0,9000,10000
jonbot@da3fd8a,jonbot,da3fd8a,pass,3,3,3,415,15,53,656,932,8734,0,0,9000,10000
v233_c@9713344,v233_c,9713344,pass,3,3,3,447,17,39,818,1510,3306,0,0,9000,10000
v233_b@9713344,v233_b,9713344,pass,3,3,3,447,18,40,832,1529,3263,0,0,9000,10000
v233_d@9713344,v233_d,9713344,pass,3,3,3,447,17,40,807,1508,3275,0,0,9000,10000
jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,exceeded,3,3,3,508,17,39,406,871,>12000,9,0,9000,10000
v233_a@9713344,v233_a,9713344,pass,3,3,3,440,17,38,838,1456,2263,0,0,9000,10000
uw_v1@9713344,uw_v1,9713344,pass,3,3,3,375,30,523,902,1481,2276,0,0,9000,10000
turtle@9713344,turtle,9713344,pass,3,3,3,375,21,494,920,1480,2269,0,0,9000,10000
vg_v4@9713344,vg_v4,9713344,pass,3,3,3,442,17,35,831,1419,2277,0,0,9000,10000
vg_v7@9713344,vg_v7,9713344,pass,3,3,3,440,18,38,843,1456,2371,0,0,9000,10000
vg_v5@9713344,vg_v5,9713344,pass,3,3,3,440,18,36,836,1444,2322,0,0,9000,10000
riptide@9713344,riptide,9713344,pass,3,3,3,436,17,43,836,1416,2278,0,0,9000,10000
reaver@9713344,reaver,9713344,pass,3,3,3,425,17,37,852,1442,2277,0,0,9000,10000
nemesis@9713344,nemesis,9713344,pass,3,3,3,621,13,448,680,1454,4446,0,0,9000,10000
vg_v2@9713344,vg_v2,9713344,pass,3,3,3,442,5,16,375,928,1888,0,0,9000,10000
baiter@9713344,baiter,9713344,pass,3,3,3,442,5,15,393,930,1630,0,0,9000,10000
vg_v6@9713344,vg_v6,9713344,pass,3,3,3,440,6,16,396,963,2159,0,0,9000,10000
vg_v3@9713344,vg_v3,9713344,pass,3,3,3,442,5,15,395,940,2055,0,0,9000,10000
siege_v2@9713344,siege_v2,9713344,pass,3,3,3,504,28,57,71,103,745,0,0,9000,10000
titanium_v1@9713344,titanium_v1,9713344,pass,3,3,3,375,12,57,64,79,426,0,0,9000,10000
vg_v1@9713344,vg_v1,9713344,pass,3,3,3,419,5,23,425,936,1621,0,0,9000,10000
attack_wave_v1@9713344,attack_wave_v1,9713344,pass,3,3,3,504,14,53,67,89,603,0,0,9000,10000
siege_v1@9713344,siege_v1,9713344,pass,3,3,3,504,29,52,67,88,604,0,0,9000,10000
jonbot@9713344,jonbot,9713344,exceeded,3,3,3,509,6,18,252,552,>12000,14,0,9000,10000
frontier_v2@9713344,frontier_v2,9713344,pass,3,3,3,579,10,67,79,104,1046,0,0,9000,10000
frontier_v1@9713344,frontier_v1,9713344,pass,3,3,3,767,10,75,91,111,1018,0,0,9000,10000
luc_1@604349b,luc_1,604349b,exceeded,3,3,3,462,552,833,962,4759,>12000,65,0,9000,10000
lockin@9713344,lockin,9713344,exceeded,3,3,3,385,544,822,980,5753,>12000,65,0,9000,10000
