match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
4fba24705039e1f0,auto-852f773c9500,green@2a19238,green,2a19238,atoll,1,12,pass,ok,,27,53,16,17,61,284,521,1,0,0,0,9000,10000,n-62-29-22,29024160,2026-08-04T12:44:00+0200
487b0ebc2fcf925b,auto-852f773c9500,green@2a19238,green,2a19238,aurora,1,12,bot_error,ok,,27,31,14,14,14,22,502,1,0,1,0,9000,10000,n-62-29-22,29024160,2026-08-04T12:44:01+0200
1547af10da2e201c,auto-852f773c9500,green@2a19238,green,2a19238,bridge,1,12,bot_error,ok,,27,27,13,13,14,15,93,0,0,1,0,9000,10000,n-62-29-22,29024160,2026-08-04T12:44:02+0200
5726f8868fcd7874,auto-852f773c9500,green@2a19238,green,2a19238,crossfire,1,12,pass,ok,,27,53,15,16,71,275,500,1,0,0,0,9000,10000,n-62-29-22,29024160,2026-08-04T12:44:03+0200
d7f6465fc5e0c334,auto-852f773c9500,green@2a19238,green,2a19238,duel,1,12,bot_error,ok,,27,27,13,14,14,15,68,0,0,1,0,9000,10000,n-62-29-22,29024160,2026-08-04T12:44:04+0200
22b7b2985bb25861,auto-852f773c9500,green@2a19238,green,2a19238,fjord,1,12,pass,ok,,27,85,10,16,17,224,567,16,0,0,0,9000,10000,n-62-29-22,29024160,2026-08-04T12:44:05+0200
5ea5edb15723b0ca,auto-852f773c9500,green@2a19238,green,2a19238,hive,1,12,pass,ok,,27,53,16,16,70,264,505,1,0,0,0,9000,10000,n-62-29-22,29024160,2026-08-04T12:44:06+0200
1a420762f8058e97,auto-852f773c9500,green@2a19238,green,2a19238,jackpot,1,12,pass,ok,,27,27,51,52,53,56,93,0,0,0,0,9000,10000,n-62-29-22,29024160,2026-08-04T12:44:07+0200
e6ce99d34e841453,auto-852f773c9500,green@2a19238,green,2a19238,longship,1,12,pass,ok,,27,53,15,16,62,255,478,1,0,0,0,9000,10000,n-62-29-22,29024160,2026-08-04T12:44:08+0200
004d0bba9a1da35f,auto-852f773c9500,green@2a19238,green,2a19238,pinch,1,12,pass,ok,,27,53,15,16,77,273,473,25,0,0,0,9000,10000,n-62-29-22,29024160,2026-08-04T12:44:09+0200
