bot_id,bot_name,bot_commit,status,matches_planned,matches_completed,matches_reported,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,timeouts,bot_exceptions,close_threshold_us,limit_us
green@2a19238,green,2a19238,pending,21,0,0,0,,,,,,0,0,9000,10000
hardshell@2a19238,hardshell,2a19238,pending,21,0,0,0,,,,,,0,0,9000,10000
odin@5a92113,odin,5a92113,pending,21,0,0,0,,,,,,0,0,9000,10000
pantheon_puppet@5a92113,pantheon_puppet,5a92113,pending,21,0,0,0,,,,,,0,0,9000,10000
strategist@2a19238,strategist,2a19238,pending,21,0,0,0,,,,,,0,0,9000,10000
strategist_learned@2a19238,strategist_learned,2a19238,pending,21,0,0,0,,,,,,0,0,9000,10000
