bot_id,bot_name,bot_commit,status,matches_planned,matches_completed,matches_reported,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,timeouts,bot_exceptions,close_threshold_us,limit_us
aegis@e55aab5,aegis,e55aab5,pass,33,33,33,6130,13,38,67,883,7864,0,0,9000,10000
bastion@840a180,bastion,840a180,pass,33,33,33,6553,13,29,42,474,6706,0,0,9000,10000
casemate_oracle@90fc9f3,casemate_oracle,90fc9f3,exceeded,33,33,33,4897,5,30,1591,3747,>12000,107,0,9000,10000
e_t4l7@9e77076,e_t4l7,9e77076,pass,33,33,33,5481,18,319,407,471,1594,0,0,9000,10000
gobbleglitch@6cdc440,gobbleglitch,6cdc440,pass,33,33,33,6982,5,25,35,402,3409,0,0,9000,10000
heimdall@daf0de0,heimdall,daf0de0,pass,33,33,33,5397,22,44,72,1064,7602,0,0,9000,10000
janus@8a1e7a1,janus,8a1e7a1,pass,33,33,33,5426,13,40,134,1109,4176,0,0,9000,10000
jonbot@90fc9f3,jonbot,90fc9f3,exceeded,33,33,32,4278,5,55,383,694,>12000,179,1,9000,10000
jonbot_190003d@90fc9f3,jonbot_190003d,90fc9f3,exceeded,33,33,33,5343,12,32,540,815,>12000,154,0,9000,10000
lockin@90fc9f3,lockin,90fc9f3,exceeded,33,33,33,2470,522,1295,1534,3679,>12000,573,0,9000,10000
maporacle@38e1456,maporacle,38e1456,pass,33,33,33,5445,12,50,81,1106,8100,0,0,9000,10000
mistral@90fc9f3,mistral,90fc9f3,exceeded,33,33,32,3602,5,23,979,>12000,>12000,1348,4,9000,10000
mjolnir@2e6c876,mjolnir,2e6c876,pass,33,33,33,4900,12,36,328,808,4446,0,0,9000,10000
odin@38e1456,odin,38e1456,pass,33,33,33,5000,12,31,255,871,7004,0,0,9000,10000
odin@93e46da,odin,93e46da,pass,33,33,33,5318,12,35,69,988,7465,0,0,9000,10000
pantheon_replica_day3@aa8bae0,pantheon_replica_day3,aa8bae0,pass,33,33,33,6162,21,46,463,2292,7555,0,0,9000,10000
prospect@bf9b3e3,prospect,bf9b3e3,pass,33,33,33,5359,20,39,68,1017,4251,0,0,9000,10000
prospect_rushonly@bf9b3e3,prospect_rushonly,bf9b3e3,pass,33,33,33,5359,24,39,65,1043,4351,0,0,9000,10000
ragnarok_fair@79582fc,ragnarok_fair,79582fc,pass,33,33,33,5619,23,46,69,1078,8307,0,0,9000,10000
skadi@1e4eddf,skadi,1e4eddf,pass,33,33,33,4506,24,46,458,1054,6197,0,0,9000,10000
skadi@6a2af02,skadi,6a2af02,pass,33,33,33,4465,35,66,651,1210,6242,0,0,9000,10000
skadi@821d792,skadi,821d792,pass,33,33,33,4465,24,52,470,1051,5038,0,0,9000,10000
skadi@aad5f44,skadi,aad5f44,pass,33,33,33,4465,43,68,788,1365,6049,0,0,9000,10000
spar_econ@aad5f44,spar_econ,aad5f44,pass,33,33,33,4175,26,65,759,1175,4310,0,0,9000,10000
steward_hardened_reinforced@04300bf,steward_hardened_reinforced,04300bf,pass,33,33,33,5582,23,41,118,1351,7059,0,0,9000,10000
steward_hardened_reinforced@366cd1b,steward_hardened_reinforced,366cd1b,pass,33,33,33,5582,25,48,129,1341,6750,0,0,9000,10000
steward_hardened_reinforced@672ee02,steward_hardened_reinforced,672ee02,pass,33,33,33,5778,26,49,139,1521,7971,0,0,9000,10000
steward_hardened_reinforced@a994296,steward_hardened_reinforced,a994296,pass,33,33,33,5582,26,47,127,1414,6993,0,0,9000,10000
steward_hardened_reinforced@c04e46e,steward_hardened_reinforced,c04e46e,pass,33,33,33,5582,24,43,126,1393,8495,0,0,9000,10000
steward_hardened_reinforced@cdc552f,steward_hardened_reinforced,cdc552f,exceeded,33,33,33,5856,17,43,122,2098,>12000,50,0,9000,10000
steward_hardened_reinforced@deba9ec,steward_hardened_reinforced,deba9ec,exceeded,33,33,33,5888,14,35,94,1741,>12000,18,0,9000,10000
steward_hardened_reinforced@f1f2bda,steward_hardened_reinforced,f1f2bda,pass,33,33,33,5582,15,45,138,1327,7408,0,0,9000,10000
steward_hardened_reinforced@f61245f,steward_hardened_reinforced,f61245f,pass,33,33,33,5582,13,31,90,1149,7563,0,0,9000,10000
steward_reinforced@a8dc58a,steward_reinforced,a8dc58a,exceeded,33,33,32,5857,13,32,90,1969,>12000,5,1,9000,10000
strategist@2a19238,strategist,2a19238,pass,33,33,33,4809,11,83,284,363,782,0,0,9000,10000
strategist@2e6eca5,strategist,2e6eca5,pass,33,33,33,4751,6,116,222,300,842,0,0,9000,10000
tempest@90fc9f3,tempest,90fc9f3,exceeded,33,33,32,3841,11,45,711,6366,>12000,1013,3,9000,10000
tempest_reinforcements@025dd51,tempest_reinforcements,025dd51,pass,33,33,33,6743,7,39,556,1960,4338,0,0,9000,10000
tempest_reinforcements@38f9c23,tempest_reinforcements,38f9c23,pass,33,33,33,6379,6,33,44,722,4241,0,0,9000,10000
tyr@2e6c876,tyr,2e6c876,pass,33,33,33,4912,22,55,493,1173,5511,0,0,9000,10000
undertow@fdc1e1f,undertow,fdc1e1f,pass,33,33,33,5240,13,101,1196,1976,5140,0,0,9000,10000
undertow_oracle@fdc1e1f,undertow_oracle,fdc1e1f,pass,33,33,33,5208,10,81,1049,1948,7444,0,0,9000,10000
v233_i@902be71,v233_i,902be71,exceeded,33,33,33,6150,13,41,562,1713,>12000,6,0,9000,10000
valkyrie_atk2@7227061,valkyrie_atk2,7227061,pass,33,33,33,6895,23,53,104,1141,7419,0,0,9000,10000
valkyrie_econ2@7227061,valkyrie_econ2,7227061,pass,33,33,33,6444,22,46,323,951,7202,0,0,9000,10000
vanguard_1e88ae8@90fc9f3,vanguard_1e88ae8,90fc9f3,pass,33,33,33,5683,11,36,581,1335,4904,0,0,9000,10000
vidar2@544eeb3,vidar2,544eeb3,pass,33,33,33,4875,32,57,494,1082,5672,0,0,9000,10000
vidar@1b7a73a,vidar,1b7a73a,pass,33,33,33,4887,31,60,489,1105,5477,0,0,9000,10000
vidar@544eeb3,vidar,544eeb3,pass,33,33,33,4887,33,65,540,1210,6084,0,0,9000,10000
vidar@561800a,vidar,561800a,pass,33,33,33,4506,35,56,595,1162,5719,0,0,9000,10000
vidar@8b87da5,vidar,8b87da5,pass,33,33,33,4506,35,56,583,1144,5531,0,0,9000,10000
vidar@ee47958,vidar,ee47958,pass,33,33,33,4506,34,60,599,1155,5504,0,0,9000,10000
vidar_g_cap6@8b87da5,vidar_g_cap6,8b87da5,pass,33,33,33,4506,23,65,559,1218,6047,0,0,9000,10000
vidar_g_relay2@8b87da5,vidar_g_relay2,8b87da5,pass,33,33,33,4506,23,42,423,1006,4959,0,0,9000,10000
vidar_ggng@1b7a73a,vidar_ggng,1b7a73a,pass,33,33,33,4776,13,54,405,958,5488,0,0,9000,10000
vidar_guard1@1b7a73a,vidar_guard1,1b7a73a,pass,33,33,33,4860,18,40,357,903,4907,0,0,9000,10000
vidar_guardgun@1b7a73a,vidar_guardgun,1b7a73a,pass,33,33,33,4926,26,57,451,1076,8090,0,0,9000,10000
vidar_nodenial@1b7a73a,vidar_nodenial,1b7a73a,pass,33,33,33,4506,22,47,443,1044,5442,0,0,9000,10000
vidar_nogun@1b7a73a,vidar_nogun,1b7a73a,pass,33,33,33,4747,25,53,449,847,5422,0,0,9000,10000
vidar_nolaunch@1b7a73a,vidar_nolaunch,1b7a73a,pass,33,33,33,4326,21,57,607,1201,5770,0,0,9000,10000
vidar_norelay@1b7a73a,vidar_norelay,1b7a73a,pass,33,33,33,4887,32,62,493,1181,6421,0,0,9000,10000
vidar_noring@1b7a73a,vidar_noring,1b7a73a,pass,33,33,33,4326,20,56,599,1074,6383,0,0,9000,10000
vidar_png@1b7a73a,vidar_png,1b7a73a,pass,33,33,33,4776,16,56,428,945,4769,0,0,9000,10000
vidar_r1@c8b850e,vidar_r1,c8b850e,pass,33,33,33,4506,36,61,629,1238,5544,0,0,9000,10000
vidar_r2@c8b850e,vidar_r2,c8b850e,pass,33,33,33,4506,44,67,790,1405,6050,0,0,9000,10000
vidar_r3@c8b850e,vidar_r3,c8b850e,pass,33,33,33,4506,38,62,652,1243,5965,0,0,9000,10000
vigil@e267eeb,vigil,e267eeb,pass,33,33,33,6372,22,34,43,660,5072,0,0,9000,10000
vigil_reinforcements@2e6c876,vigil_reinforcements,2e6c876,exceeded,33,33,33,5942,23,38,53,1057,>12000,36,0,9000,10000
warden_@d142ef0,warden_,d142ef0,pass,33,33,33,4306,14,71,137,180,563,0,0,9000,10000
warden_walk@e55aab5,warden_walk,e55aab5,pass,33,33,33,6043,14,37,57,749,6725,0,0,9000,10000
