bot_id,bot_name,bot_commit,status,matches_planned,matches_completed,matches_reported,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,timeouts,bot_exceptions,close_threshold_us,limit_us
casemate@902be71,casemate,902be71,pass,3,3,3,482,19,82,1591,2053,4319,0,0,9000,10000
casemate_oracle@902be71,casemate_oracle,902be71,exceeded,3,3,3,430,12,31,2818,6002,12560,0,0,9000,10000
vanguard_oracle@902be71,vanguard_oracle,902be71,pass,3,3,3,653,11,26,39,1155,6962,0,0,9000,10000
v233_i@902be71,v233_i,902be71,pass,3,3,3,567,10,28,474,1323,4251,0,0,9000,10000
autistimusprime@ecd4d24,autistimusprime,ecd4d24,pass,3,3,3,613,11,37,48,443,2646,0,0,9000,10000
e9cand@9e77076,e9cand,9e77076,pass,3,3,3,723,13,53,300,423,4007,0,0,9000,10000
e_final@9e77076,e_final,9e77076,pass,3,3,3,655,12,47,307,403,2450,0,0,9000,10000
e_t4l7@9e77076,e_t4l7,9e77076,pass,3,3,3,483,30,509,650,728,1960,0,0,9000,10000
e_post2@4a95297,e_post2,4a95297,pass,3,3,3,723,19,52,424,656,4160,0,0,9000,10000
e_harc@6db8844,e_harc,6db8844,pass,3,3,3,640,20,52,295,375,3881,0,0,9000,10000
e_condc@6db8844,e_condc,6db8844,pass,3,3,3,504,22,272,344,466,3663,0,0,9000,10000
opponent_luc@e83a42c,opponent_luc,e83a42c,exceeded,3,3,3,435,600,1024,1200,4472,>12000,79,0,9000,10000
tempest_reinforcements@87724ec,tempest_reinforcements,87724ec,exceeded,3,3,3,422,9,38,2613,>12000,>12000,195,0,9000,10000
