map,ore_scope,objective,builders,safe_ores,initially_visible_safe_ores,conveyor_tiles,first_harvester_round,first_delivery_round,all_harvesters_round,all_first_delivery_round,titanium_mined_100,titanium_mined_250,titanium_mined_500,titanium_mined_1000,titanium_stored_100,titanium_stored_250,titanium_stored_500,titanium_stored_1000,total_builder_cost,total_harvester_cost,total_conveyor_cost,total_capex,resource_delay_rounds
twins,initially_visible,income,1,6,3,10,7,10,29,33,600,1730,3600,7350,1208,2718,5208,10208,30,78,34,142,0
twins,initially_visible,makespan,1,6,3,10,7,10,29,33,600,1730,3600,7350,1208,2718,5208,10208,30,78,34,142,0
twins,initially_visible,income,2,6,3,10,7,10,17,20,650,1770,3650,7400,1203,2703,5203,10203,66,91,40,197,0
twins,initially_visible,makespan,2,6,3,10,7,10,17,20,650,1770,3650,7400,1203,2703,5203,10203,66,91,40,197,0
twins,initially_visible,income,3,6,3,10,8,11,9,13,670,1800,3670,7420,1164,2674,5164,10164,108,105,43,256,0
twins,initially_visible,makespan,3,6,3,10,8,11,9,13,670,1800,3670,7420,1164,2674,5164,10164,108,105,43,256,0
twins,initially_visible,income,4,6,3,10,8,11,9,13,670,1800,3670,7420,1099,2609,5099,10099,156,117,48,321,0
twins,initially_visible,makespan,4,6,3,10,8,11,9,13,670,1800,3670,7420,1099,2609,5099,10099,156,117,48,321,0
vault,all_safe,income,1,4,2,34,5,7,91,106,560,2040,4550,9550,1035,2895,6025,12275,30,111,134,275,0
vault,all_safe,makespan,1,4,2,34,5,7,91,106,560,2040,4550,9550,1035,2895,6025,12275,30,111,134,275,0
vault,all_safe,income,2,4,2,34,5,7,39,54,710,2210,4710,9710,1111,2991,6111,12361,66,130,153,349,0
vault,all_safe,makespan,2,4,2,34,5,7,39,54,710,2210,4710,9710,1111,2991,6111,12361,66,130,153,349,0
vault,all_safe,income,3,4,2,34,5,7,33,48,730,2220,4730,9730,1054,2924,6054,12304,108,149,169,426,0
vault,all_safe,makespan,3,4,2,34,7,9,32,47,720,2220,4720,9720,1045,2925,6045,12295,108,150,167,425,0
vault,all_safe,income,4,4,2,34,7,9,32,47,740,2230,4740,9740,978,2848,5978,12228,156,166,190,512,0
vault,all_safe,makespan,4,4,2,34,7,9,32,47,740,2230,4740,9740,978,2848,5978,12228,156,166,190,512,0
vault,initially_visible,income,1,4,2,4,5,7,12,14,460,1200,2460,4960,1119,2239,4119,7869,30,49,12,91,0
vault,initially_visible,makespan,1,4,2,4,5,7,12,14,460,1200,2460,4960,1119,2239,4119,7869,30,49,12,91,0
vault,initially_visible,income,2,4,2,4,5,7,6,8,470,1220,2470,4970,1081,2211,4081,7831,66,57,16,139,0
vault,initially_visible,makespan,2,4,2,4,5,7,6,8,470,1220,2470,4970,1081,2211,4081,7831,66,57,16,139,0
vault,initially_visible,income,3,4,2,4,5,7,6,8,470,1220,2470,4970,1031,2161,4031,7781,108,65,16,189,0
vault,initially_visible,makespan,3,4,2,4,5,7,6,8,470,1220,2470,4970,1031,2161,4031,7781,108,65,16,189,0
vault,initially_visible,income,4,4,2,4,5,7,6,8,470,1220,2470,4970,973,2103,3973,7723,156,73,18,247,0
vault,initially_visible,makespan,4,4,2,4,5,7,6,8,470,1220,2470,4970,973,2103,3973,7723,156,73,18,247,0
