map,ore_scope,objective,builders,safe_ores,initially_visible_safe_ores,conveyor_tiles,first_harvester_round,first_delivery_round,all_harvesters_round,all_first_delivery_round,titanium_mined_100,titanium_mined_250,titanium_mined_500,titanium_mined_1000,titanium_stored_100,titanium_stored_250,titanium_stored_500,titanium_stored_1000,total_builder_cost,total_harvester_cost,total_conveyor_cost,total_capex,resource_delay_rounds
crossfire,all_safe,makespan,3,2,2,4,5,7,6,8,470,1220,2470,4970,1031,2161,4031,7781,108,65,16,189,0
crossfire,all_safe,income,4,2,2,4,5,7,6,8,470,1220,2470,4970,973,2103,3973,7723,156,73,18,247,0
crossfire,all_safe,makespan,4,2,2,4,5,7,6,8,470,1220,2470,4970,973,2103,3973,7723,156,73,18,247,0
crossfire,initially_visible,income,1,2,2,4,5,7,12,14,460,1200,2460,4960,1119,2239,4119,7869,30,49,12,91,0
crossfire,initially_visible,makespan,1,2,2,4,5,7,12,14,460,1200,2460,4960,1119,2239,4119,7869,30,49,12,91,0
crossfire,initially_visible,income,2,2,2,4,5,7,6,8,470,1220,2470,4970,1081,2211,4081,7831,66,57,16,139,0
crossfire,initially_visible,makespan,2,2,2,4,5,7,6,8,470,1220,2470,4970,1081,2211,4081,7831,66,57,16,139,0
crossfire,initially_visible,income,3,2,2,4,5,7,6,8,470,1220,2470,4970,1031,2161,4031,7781,108,65,16,189,0
crossfire,initially_visible,makespan,3,2,2,4,5,7,6,8,470,1220,2470,4970,1031,2161,4031,7781,108,65,16,189,0
crossfire,initially_visible,income,4,2,2,4,5,7,6,8,470,1220,2470,4970,973,2103,3973,7723,156,73,18,247,0
crossfire,initially_visible,makespan,4,2,2,4,5,7,6,8,470,1220,2470,4970,973,2103,3973,7723,156,73,18,247,0
duel,all_safe,income,1,2,2,3,3,4,9,11,470,1220,2470,4970,1132,2262,4132,7882,30,49,9,88,0
duel,all_safe,makespan,1,2,2,3,3,4,9,11,470,1220,2470,4970,1132,2262,4132,7882,30,49,9,88,0
duel,all_safe,income,2,2,2,3,4,5,5,7,480,1230,2480,4980,1095,2225,4095,7845,66,57,12,135,0
duel,all_safe,makespan,2,2,2,3,4,5,5,7,480,1230,2480,4980,1095,2225,4095,7845,66,57,12,135,0
duel,all_safe,income,3,2,2,3,4,5,5,7,480,1230,2480,4980,1045,2175,4045,7795,108,65,12,185,0
duel,all_safe,makespan,3,2,2,3,4,5,5,7,480,1230,2480,4980,1045,2175,4045,7795,108,65,12,185,0
duel,all_safe,income,4,2,2,3,4,5,5,7,480,1230,2480,4980,988,2118,3988,7738,156,73,13,242,0
duel,all_safe,makespan,4,2,2,3,4,5,5,7,480,1230,2480,4980,988,2118,3988,7738,156,73,13,242,0
duel,initially_visible,income,1,2,2,3,3,4,9,11,470,1220,2470,4970,1132,2262,4132,7882,30,49,9,88,0
duel,initially_visible,makespan,1,2,2,3,3,4,9,11,470,1220,2470,4970,1132,2262,4132,7882,30,49,9,88,0
duel,initially_visible,income,2,2,2,3,4,5,5,7,480,1230,2480,4980,1095,2225,4095,7845,66,57,12,135,0
duel,initially_visible,makespan,2,2,2,3,4,5,5,7,480,1230,2480,4980,1095,2225,4095,7845,66,57,12,135,0
duel,initially_visible,income,3,2,2,3,4,5,5,7,480,1230,2480,4980,1045,2175,4045,7795,108,65,12,185,0
duel,initially_visible,makespan,3,2,2,3,4,5,5,7,480,1230,2480,4980,1045,2175,4045,7795,108,65,12,185,0
duel,initially_visible,income,4,2,2,3,4,5,5,7,480,1230,2480,4980,988,2118,3988,7738,156,73,13,242,0
duel,initially_visible,makespan,4,2,2,3,4,5,5,7,480,1230,2480,4980,988,2118,3988,7738,156,73,13,242,0
fjord,all_safe,income,1,6,3,45,3,4,126,141,820,2960,6720,14220,1271,3688,8068,16818,30,178,194,402,0
fjord,all_safe,makespan,1,6,3,45,3,4,126,141,820,2960,6720,14220,1271,3688,8068,16818,30,178,194,402,0
fjord,all_safe,income,2,6,3,45,3,4,68,81,990,3260,6990,14490,1246,3896,8246,16996,66,205,223,494,0
fjord,all_safe,makespan,2,6,3,45,4,5,64,77,980,3250,6980,14480,1241,3891,8241,16991,66,206,217,489,0
fjord,all_safe,income,3,6,3,45,3,4,36,50,1100,3370,7100,14600,1264,3914,8264,17014,108,235,243,586,0
fjord,all_safe,makespan,3,6,3,45,3,4,36,48,1090,3360,7090,14590,1254,3904,8254,17004,108,235,243,586,0
fjord,all_safe,income,4,6,3,45,3,4,33,48,1120,3380,7120,14620,1190,3830,8190,16940,156,260,264,680,0
fjord,all_safe,makespan,4,6,3,45,4,5,34,46,1120,3370,7120,14620,1190,3820,8190,16940,156,260,264,680,0
fjord,initially_visible,income,1,6,3,5,3,4,16,18,680,1800,3680,7430,1308,2808,5308,10308,30,76,16,122,0
fjord,initially_visible,makespan,1,6,3,5,3,4,16,18,680,1800,3680,7430,1308,2808,5308,10308,30,76,16,122,0
fjord,initially_visible,income,2,6,3,5,3,4,9,11,700,1830,3700,7450,1276,2786,5276,10276,66,88,20,174,0
fjord,initially_visible,makespan,2,6,3,5,3,4,9,11,700,1830,3700,7450,1276,2786,5276,10276,66,88,20,174,0
fjord,initially_visible,income,3,6,3,5,5,6,6,8,710,1830,3710,7460,1230,2730,5230,10230,108,102,20,230,0
fjord,initially_visible,makespan,3,6,3,5,5,6,6,8,710,1830,3710,7460,1230,2730,5230,10230,108,102,20,230,0
fjord,initially_visible,income,4,6,3,5,5,6,6,8,710,1830,3710,7460,1167,2667,5167,10167,156,114,23,293,0
fjord,initially_visible,makespan,4,6,3,5,5,6,6,8,710,1830,3710,7460,1167,2667,5167,10167,156,114,23,293,0
hive,all_safe,income,1,4,1,28,7,10,79,88,530,2030,4530,9530,1035,2915,6035,12285,30,112,103,245,0
hive,all_safe,makespan,1,4,1,28,7,10,79,88,530,2030,4530,9530,1035,2915,6035,12285,30,112,103,245,0
hive,all_safe,income,2,4,1,28,8,11,42,50,710,2200,4710,9710,1141,3011,6141,12391,66,130,123,319,0
hive,all_safe,makespan,2,4,1,28,8,11,42,50,710,2200,4710,9710,1141,3011,6141,12391,66,130,123,319,0
hive,all_safe,income,3,4,1,28,7,10,27,35,770,2250,4770,9770,1128,2988,6128,12378,108,149,135,392,0
hive,all_safe,makespan,3,4,1,28,7,10,27,35,770,2250,4770,9770,1128,2988,6128,12378,108,149,135,392,0
hive,all_safe,income,4,4,1,28,8,11,20,28,780,2280,4780,9780,1056,2936,6056,12306,156,167,151,474,0
hive,all_safe,makespan,4,4,1,28,8,11,20,28,780,2280,4780,9780,1056,2936,6056,12306,156,167,151,474,0
hive,initially_visible,income,1,4,1,3,7,10,7,10,230,600,1230,2480,917,1667,2917,5417,30,24,9,63,0
hive,initially_visible,makespan,1,4,1,3,7,10,7,10,230,600,1230,2480,917,1667,2917,5417,30,24,9,63,0
hive,initially_visible,income,2,4,1,3,7,10,7,10,230,600,1230,2480,874,1624,2874,5374,66,28,12,106,0
hive,initially_visible,makespan,2,4,1,3,7,10,7,10,230,600,1230,2480,874,1624,2874,5374,66,28,12,106,0
hive,initially_visible,income,3,4,1,3,7,10,7,10,230,600,1230,2480,828,1578,2828,5328,108,32,12,152,0
hive,initially_visible,makespan,3,4,1,3,7,10,7,10,230,600,1230,2480,828,1578,2828,5328,108,32,12,152,0
hive,initially_visible,income,4,4,1,3,7,10,7,10,230,600,1230,2480,774,1524,2774,5274,156,36,14,206,0
hive,initially_visible,makespan,4,4,1,3,7,10,7,10,230,600,1230,2480,774,1524,2774,5274,156,36,14,206,0
longship,all_safe,income,1,8,2,56,7,10,165,176,740,3400,8420,18420,1182,3984,9624,20874,30,258,258,546,0
longship,all_safe,makespan,1,8,2,56,7,10,165,176,740,3400,8420,18420,1182,3984,9624,20874,30,258,258,546,0
longship,all_safe,income,2,8,2,56,7,10,80,91,1110,4090,9110,19110,1215,4575,10215,21465,66,296,283,645,0
longship,all_safe,makespan,2,8,2,56,8,11,79,90,1050,4050,9050,19050,1150,4530,10150,21400,66,298,286,650,0
longship,all_safe,income,3,8,2,56,7,10,52,63,1320,4290,9320,19320,1318,4668,10318,21568,108,334,310,752,0
longship,all_safe,makespan,3,8,2,56,8,11,51,62,1310,4290,9310,19310,1306,4666,10306,21556,108,335,311,754,0
longship,all_safe,income,4,8,2,56,9,12,40,49,1410,4420,9410,19410,1293,4683,10293,21543,156,370,341,867,1
longship,all_safe,makespan,4,8,2,56,9,12,40,49,1410,4420,9410,19410,1293,4683,10293,21543,156,370,341,867,1
longship,initially_visible,income,1,8,2,6,7,10,17,20,430,1180,2430,4930,1082,2212,4082,7832,30,50,18,98,0
longship,initially_visible,makespan,1,8,2,6,7,10,17,20,430,1180,2430,4930,1082,2212,4082,7832,30,50,18,98,0
longship,initially_visible,income,2,8,2,6,7,10,8,11,460,1200,2460,4960,1061,2181,4061,7811,66,59,24,149,0
longship,initially_visible,makespan,2,8,2,6,7,10,8,11,460,1200,2460,4960,1061,2181,4061,7811,66,59,24,149,0
longship,initially_visible,income,3,8,2,6,7,10,8,11,460,1200,2460,4960,1011,2131,4011,7761,108,67,24,199,0
longship,initially_visible,makespan,3,8,2,6,7,10,8,11,460,1200,2460,4960,1011,2131,4011,7761,108,67,24,199,0
longship,initially_visible,income,4,8,2,6,7,10,8,11,460,1200,2460,4960,951,2071,3951,7701,156,75,28,259,0
longship,initially_visible,makespan,4,8,2,6,7,10,8,11,460,1200,2460,4960,951,2071,3951,7701,156,75,28,259,0
pinch,all_safe,income,1,5,3,33,7,10,92,104,650,2510,5640,11890,1097,3337,7087,14587,30,143,130,303,0
pinch,all_safe,makespan,1,5,3,33,7,10,92,104,650,2510,5640,11890,1097,3337,7087,14587,30,143,130,303,0
pinch,all_safe,income,2,5,3,33,7,10,44,54,870,2740,5870,12120,1239,3489,7239,14739,66,167,148,381,0
pinch,all_safe,makespan,2,5,3,33,8,11,45,53,860,2740,5860,12110,1229,3489,7229,14729,66,167,148,381,0
pinch,all_safe,income,3,5,3,33,7,10,32,39,940,2810,5940,12190,1228,3478,7228,14728,108,190,164,462,0
pinch,all_safe,makespan,3,5,3,33,8,11,31,37,930,2810,5930,12180,1218,3478,7218,14718,108,193,161,462,0
pinch,all_safe,income,4,5,3,33,7,10,26,38,970,2830,5970,12220,1170,3410,7170,14670,156,213,181,550,0
pinch,all_safe,makespan,4,5,3,33,8,11,26,37,970,2840,5970,12220,1170,3420,7170,14670,156,213,181,550,0
pinch,initially_visible,income,1,5,3,14,7,10,39,45,560,1680,3560,7310,1154,2654,5154,10154,30,78,48,156,0
pinch,initially_visible,makespan,1,5,3,14,7,10,39,45,560,1680,3560,7310,1154,2654,5154,10154,30,78,48,156,0
pinch,initially_visible,income,2,5,3,14,7,10,21,26,620,1740,3620,7370,1156,2656,5156,10156,66,92,56,214,0
pinch,initially_visible,makespan,2,5,3,14,7,10,21,26,620,1740,3620,7370,1156,2656,5156,10156,66,92,56,214,0
pinch,initially_visible,income,3,5,3,14,8,11,13,19,650,1760,3650,7400,1124,2614,5124,10124,108,105,63,276,0
pinch,initially_visible,makespan,3,5,3,14,8,11,13,19,650,1760,3650,7400,1124,2614,5124,10124,108,105,63,276,0
pinch,initially_visible,income,4,5,3,14,8,11,13,19,650,1760,3650,7400,1059,2549,5059,10059,156,117,68,341,0
pinch,initially_visible,makespan,4,5,3,14,8,11,13,19,650,1760,3650,7400,1059,2549,5059,10059,156,117,68,341,0
quarry,all_safe,income,1,8,4,83,11,16,242,257,560,2710,7700,17700,1024,3121,8731,19981,30,276,413,719,0
quarry,all_safe,makespan,1,8,4,83,11,16,242,257,560,2710,7700,17700,1024,3121,8731,19981,30,276,413,719,0
quarry,all_safe,income,2,8,4,83,11,16,115,130,820,3680,8680,18680,920,3968,9588,20838,66,316,460,842,0
quarry,all_safe,makespan,2,8,4,83,11,16,115,130,820,3680,8680,18680,920,3968,9588,20838,66,316,460,842,0
quarry,all_safe,income,3,8,4,83,11,16,76,91,980,3990,8980,18980,765,4155,9765,21015,108,356,501,965,0
quarry,all_safe,makespan,3,8,4,83,12,17,74,89,980,3990,8980,18980,763,4153,9763,21013,108,358,501,967,0
quarry,all_safe,income,4,8,4,83,13,19,63,78,1130,4120,9130,19130,787,4157,9787,21037,156,396,541,1093,17
quarry,all_safe,makespan,4,8,4,83,13,19,63,78,1130,4120,9130,19130,787,4157,9787,21037,156,396,541,1093,17
quarry,initially_visible,income,1,8,4,24,11,16,69,76,560,2060,4560,9560,1081,2961,6081,12331,30,112,87,229,0
