bot_id,bot_name,bot_commit,status,matches_planned,matches_completed,matches_reported,samples,min_turn_us,p25_turn_us,p50_turn_us,p75_turn_us,max_turn_us,timeouts,bot_exceptions,close_threshold_us,limit_us
uw_v2@9713344,uw_v2,9713344,pass,21,21,21,3378,12,88,772,1467,5783,0,0,9000,10000
v233_a@9713344,v233_a,9713344,pass,21,21,21,3029,7,29,409,965,3587,0,0,9000,10000
v233_b@9713344,v233_b,9713344,pass,21,21,21,3103,5,24,350,971,4272,0,0,9000,10000
v233_c@9713344,v233_c,9713344,pass,21,21,21,3103,5,23,325,985,3671,0,0,9000,10000
v233_d@9713344,v233_d,9713344,pass,21,21,21,3126,5,21,322,976,3606,0,0,9000,10000
v233_e@9713344,v233_e,9713344,pass,21,21,21,3399,5,17,424,1183,4081,0,0,9000,10000
v233_f@9713344,v233_f,9713344,pass,21,21,21,3185,6,34,754,1611,5257,0,0,9000,10000
v233_g@9713344,v233_g,9713344,pass,21,21,21,3505,12,34,687,1521,5361,0,0,9000,10000
v233_i@902be71,v233_i,902be71,pass,21,21,21,4203,12,33,267,1449,8764,0,0,9000,10000
vanguard@818f3b4,vanguard,818f3b4,close,21,21,21,3912,11,33,532,1589,9558,0,0,9000,10000
vanguard@9932bec,vanguard,9932bec,exceeded,21,21,21,3939,12,34,513,1565,10078,0,0,9000,10000
vanguard@c407e79,vanguard,c407e79,close,21,21,21,3991,12,33,470,1475,9544,0,0,9000,10000
vanguard@da3fd8a,vanguard,da3fd8a,pass,21,21,21,3785,14,32,550,1401,5185,0,0,9000,10000
vanguard_oracle@75591b7,vanguard_oracle,75591b7,close,21,21,21,4728,10,31,52,1484,9613,0,0,9000,10000
vanguard_oracle@902be71,vanguard_oracle,902be71,close,21,21,21,4618,11,30,51,1479,9505,0,0,9000,10000
vanguard_oracle@fdc1e1f,vanguard_oracle,fdc1e1f,close,21,21,21,4765,11,28,47,1447,9607,0,0,9000,10000
vg_v1@9713344,vg_v1,9713344,pass,21,21,21,3115,11,21,521,1164,2376,0,0,9000,10000
vg_v2@9713344,vg_v2,9713344,pass,21,21,21,3000,11,26,546,1158,3582,0,0,9000,10000
vg_v3@9713344,vg_v3,9713344,pass,21,21,21,3000,10,32,565,1080,3631,0,0,9000,10000
vg_v4@9713344,vg_v4,9713344,pass,21,21,21,3000,5,43,528,1011,3679,0,0,9000,10000
vg_v5@9713344,vg_v5,9713344,pass,21,21,21,3064,5,30,358,900,7432,0,0,9000,10000
vg_v6@9713344,vg_v6,9713344,pass,21,21,21,3064,5,18,278,665,2587,0,0,9000,10000
vg_v7@9713344,vg_v7,9713344,pass,21,21,21,3064,4,17,266,642,2321,0,0,9000,10000
