bot_id,bot_name,bot_commit,status,matches_planned,matches_completed,matches_reported,samples,max_turn_us,timeouts,bot_exceptions,close_threshold_us,limit_us
vanguard@259c188,vanguard,259c188,pass,3,3,3,567,4005,0,0,9000,10000
tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,pass,3,3,3,425,2621,0,0,9000,10000
vanguard@c407e79,vanguard,c407e79,pass,3,3,3,517,5714,0,0,9000,10000
vanguard@26e6792,vanguard,26e6792,pass,3,3,3,517,5724,0,0,9000,10000
mistral_fast@26b5aa1,mistral_fast,26b5aa1,pass,3,3,3,437,2705,0,0,9000,10000
tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,pass,3,3,3,462,2782,0,0,9000,10000
vanguard@9932bec,vanguard,9932bec,pass,3,3,3,510,5756,0,0,9000,10000
vanguard@17ad456,vanguard,17ad456,pass,3,3,3,511,4042,0,0,9000,10000
tempest_oracle_ferry@12802b8,tempest_oracle_ferry,12802b8,pass,3,3,3,472,4598,0,0,9000,10000
