rank,bot_id,name,commit,games,wins,draws,losses,win_rate,melo_r,melo_r_elo,melo_fit_r,melo_c_1,melo_c_2,nash_prob,nash_average,nash_rank,rank_delta,aggregate_rank,aggregate_melo_r,aggregate_melo_r_elo,aggregate_nash_prob,aggregate_nash_average,aggregate_nash_rank,aggregate_rank_delta
1,tempest_oracle_ferry@7196487,tempest_oracle_ferry,7196487,1974,1654,0,320,0.8379,1.064975,185.0,1.912856,-0.07388,1.436102,0.15625,-1.156783,1,0,11,1.912856,332.3,1.0,0.0,1,10
2,vanguard_oracle@75591b7,vanguard_oracle,75591b7,1974,1630,0,344,0.8257,1.026655,178.3,2.348591,-0.825797,0.049929,0.0625,-1.156783,2,0,2,2.348591,408.0,0.0,-0.376478,2,0
3,vanguard@818f3b4,vanguard,818f3b4,1974,1611,0,363,0.8161,0.996319,173.1,2.340139,-0.616254,-0.193525,0.0,-1.307668,23,-20,3,2.340139,406.5,0.0,-0.473784,3,0
4,vanguard@9932bec,vanguard,9932bec,1974,1589,0,385,0.805,0.961192,167.0,2.352938,-0.752747,-0.362716,0.0625,-1.156783,3,1,1,2.352938,408.7,0.0,-0.675755,9,-8
5,tempest_ferry@26b5aa1,tempest_ferry,26b5aa1,1974,1578,0,396,0.7994,0.943629,163.9,1.743171,-0.246357,1.101658,0.056251,-1.156783,4,1,13,1.743171,302.8,0.0,-0.573346,4,9
6,undertow_oracle@75591b7,undertow_oracle,75591b7,1974,1559,0,415,0.7898,0.913292,158.7,2.158249,-0.652034,-0.181174,0.125,-1.156783,5,1,6,2.158249,374.9,0.0,-0.781701,12,-6
7,tempest_fast@eb1f0f3,tempest_fast,eb1f0f3,1974,1545,0,429,0.7827,0.890939,154.8,1.678365,-0.356266,1.00775,0.056257,-1.156783,6,1,15,1.678365,291.6,0.0,-0.675755,8,7
8,vanguard@26e6792,vanguard,26e6792,1974,1542,0,432,0.7812,0.886149,153.9,2.254772,-0.923453,-0.487668,0.0,-1.307668,22,-14,4,2.254772,391.7,0.0,-1.007641,16,-12
9,tempest@da3fd8a,tempest,da3fd8a,1974,1534,0,440,0.7771,0.873376,151.7,1.656125,-0.343314,0.958756,0.056245,-1.156783,7,2,16,1.656125,287.7,0.0,-0.675755,7,9
10,undertow@da3fd8a,undertow,da3fd8a,1974,1504,0,470,0.7619,0.825476,143.4,2.076762,-0.491315,-0.505213,0.046878,-1.156783,8,2,7,2.076762,360.8,0.0,-0.675755,6,1
11,vanguard@259c188,vanguard,259c188,1974,1498,0,476,0.7589,0.815896,141.7,2.174147,-0.797102,-0.727099,0.0,-1.5321,28,-17,5,2.174147,377.7,0.0,-1.007641,15,-10
12,undertow_1ac7ac4@da3fd8a,undertow_1ac7ac4,da3fd8a,1974,1488,0,486,0.7538,0.799929,139.0,2.023976,-0.507671,-0.548033,0.046872,-1.156783,9,3,8,2.023976,351.6,0.0,-0.675755,5,3
13,mistral_fast@26b5aa1,mistral_fast,26b5aa1,1974,1484,0,490,0.7518,0.793542,137.9,1.542962,-0.716186,0.772235,0.056255,-1.156783,10,3,17,1.542962,268.0,0.0,-1.72551,24,-7
14,mistral@ba943b9,mistral,ba943b9,1974,1479,0,495,0.7492,0.785559,136.5,1.532823,-0.706807,0.749265,0.056242,-1.156783,11,3,18,1.532823,266.3,0.0,-1.72551,25,-7
15,vanguard@da3fd8a,vanguard,da3fd8a,1974,1438,0,536,0.7285,0.720096,125.1,1.996785,-0.757908,-0.813659,0.0,-1.485596,25,-10,9,1.996785,346.9,0.0,-1.129865,19,-10
16,v233_g@9713344,v233_g,9713344,1974,1425,0,549,0.7219,0.699339,121.5,1.98482,-0.437938,-0.905372,0.125,-1.156783,12,4,10,1.98482,344.8,0.0,-0.781701,13,-3
17,undertow@9713344,undertow,9713344,1974,1402,0,572,0.7102,0.662616,115.1,1.736575,-0.530912,-0.618169,0.0,-1.458553,24,-7,14,1.736575,301.7,0.0,-1.007641,14,0
18,v233_f@9713344,v233_f,9713344,1974,1366,0,608,0.692,0.605136,105.1,1.843356,-0.420005,-1.084462,0.0,-1.156783,13,5,12,1.843356,320.2,0.0,-1.129865,17,-5
19,uw_v2@9713344,uw_v2,9713344,1974,1326,0,648,0.6717,0.541269,94.0,1.130776,-0.235632,0.478761,0.03125,-1.156783,14,5,20,1.130776,196.4,0.0,-0.781701,10,10
20,jonbot@da3fd8a,jonbot,da3fd8a,1974,1273,0,701,0.6449,0.456646,79.3,0.863994,-0.096482,0.715498,0.0,-1.609438,29,-9,21,0.863994,150.1,0.0,-0.781701,11,10
21,v233_e@9713344,v233_e,9713344,1974,1273,0,701,0.6449,0.456646,79.3,1.246655,-0.587034,-0.588741,0.0,-1.280625,21,0,19,1.246655,216.6,0.0,-1.129865,18,1
22,v233_c@9713344,v233_c,9713344,1974,1190,0,784,0.6028,0.324123,56.3,0.615451,-0.357619,0.580641,0.0625,-1.156783,15,7,22,0.615451,106.9,0.0,-1.72551,23,-1
23,v233_b@9713344,v233_b,9713344,1974,1167,0,807,0.5912,0.2874,49.9,0.557384,-0.362384,0.503311,0.0,-1.156783,16,7,23,0.557384,96.8,0.0,-1.72551,21,2
24,v233_d@9713344,v233_d,9713344,1974,1151,0,823,0.5831,0.261853,45.5,0.527858,-0.320452,0.226578,0.0,-1.156783,17,7,24,0.527858,91.7,0.0,-1.72551,22,2
25,jonbot_190003d@da3fd8a,jonbot_190003d,da3fd8a,1974,943,0,1031,0.4777,-0.070253,-12.2,-0.091163,0.264593,0.616191,0.0,-1.508848,26,-1,25,-0.091163,-15.8,0.0,-1.260254,20,5
26,v233_a@9713344,v233_a,9713344,1974,827,0,1147,0.4189,-0.255466,-44.4,-0.704809,0.518454,-0.421656,0.0,-1.609438,30,-4,26,-0.704809,-122.4,0.0,-2.146581,27,-1
27,uw_v1@9713344,uw_v1,9713344,1974,779,0,1195,0.3946,-0.332106,-57.7,-0.740103,0.419189,0.17347,0.0,-1.609438,31,-4,27,-0.740103,-128.6,0.0,-2.146581,26,1
28,turtle@9713344,turtle,9713344,1974,598,0,1376,0.3029,-0.621103,-107.9,-1.520228,0.941932,-0.344409,0.0,-1.508848,27,1,28,-1.520228,-264.1,0.0,-2.423538,29,-1
