match_id,tournament_id,bot_id,bot_name,bot_commit,map,seed,guard_tle_ms,result,match_status,error,turns,samples,max_turn_us,max_round,timeouts,bot_exceptions,terminal_starts,close_threshold_us,limit_us,host,lsf_job,finished_at
526e860875d02439,jon-vanguard-818f3b4,vanguard@818f3b4,vanguard,818f3b4,atoll,1,12,pass,ok,,27,190,4997,25,0,0,3,9000,10000,n-62-21-92,29000506,2026-08-01T18:49:14+0200
44e692870e802332,jon-vanguard-818f3b4,vanguard@818f3b4,vanguard,818f3b4,duel,1,12,pass,ok,,27,184,3225,14,0,0,2,9000,10000,n-62-21-92,29000506,2026-08-01T18:49:16+0200
1d1e10b32ed88a9a,jon-vanguard-818f3b4,vanguard@818f3b4,vanguard,818f3b4,quarry,1,12,pass,ok,,27,137,3399,26,0,0,0,9000,10000,n-62-21-92,29000506,2026-08-01T18:49:18+0200
